BBC,Bay City,Texas, United States,Bay City,
BBD,Brady,Texas, United States,Brady,
BBG,Butaritari Atoll,Kiribati,,Butaritari Atoll,
BBH,Stralsund/Barth,Mecklenburg-Vorpommern, Germany,Stralsund/Barth,
BBI,Bhubaneswar,Odisha, India,Bhubaneswar,
BBJ,Bitburg,Rhineland-Palatinate, Germany,Bitburg,
BBK,Kasane,Botswana,,Kasane,
BBL,Ballera gas plant,Queensland, Australia,Ballera gas plant,
BBM,Battambang,Cambodia,,Battambang,
BBN,Bario,Sarawak, Malaysia,Bario,
BBO,Berbera,Somalia,,Berbera,
BBP,Bembridge,England, United Kingdom,Bembridge,
BBQ,Barbuda,Antigua and Barbuda,,Barbuda,
BBR,Basse-Terre,Guadeloupe,,Basse-Terre,
BBS,Yateley,England, United Kingdom,Yateley,
BBT,Berbérati,Central African Republic,,Berberati,
BBU,Bucharest,Romania,,Bucharest,
BBV,Grand-Béréby,Ivory Coast,,Grand-Bereby,
BBW,Broken Bow,Nebraska, United States,Broken Bow,
BBX,Philadelphia,Pennsylvania, United States,Philadelphia,
BBY,Bambari,Central African Republic,,Bambari,
BBZ,Zambezi,Zambia,,Zambezi,
BCA,Baracoa,Cuba,,Baracoa,
BCB,Blacksburg,Virginia, United States,Blacksburg,
BCC,Bear Creek,Alaska, United States,Bear Creek,
BCD,Bacolod,Philippines,,Bacolod,
BCE,Bryce Canyon,Utah, United States,Bryce Canyon,
BCF,Bouca,Central African Republic,,Bouca,
BCG,Kumaka,Guyana,,Kumaka,
BCH,Baucau,East Timor,,Baucau,
BCI,Barcaldine,Queensland, Australia,Barcaldine,
BCK,Bolwarra,Queensland, Australia,Bolwarra,
BCL,Barra del Colorado,Costa Rica,,Barra del Colorado,
BCN,Barcelona,Catalonia, Spain,Barcelona,
BCO,Jinka,Ethiopia,,Jinka,
BCP,Bambu,Papua New Guinea,,Bambu,
BCQ,Brak,Libya,,Brak,
BCR,Boca do Acre,Amazonas, Brazil,Boca do Acre,
BCS,Belle Chasse,Louisiana, United States,Belle Chasse,
BCT,Boca Raton,Florida, United States,Boca Raton,
BCU,Bauchi,Nigeria,,Bauchi,
BCV,Belmopan,Belize,,Belmopan,
BCW,Benguerra Island,Mozambique,,Benguerra Island,
BCX,Beloretsk,Republic of Bashkortostan, Russia,Beloretsk,
BCY,Bulchi,Ethiopia,,Bulchi,
BCZ,Bickerton Island,Northern Territory, Australia,Bickerton Island,
BDA,Hamilton,British Overseas TerritoryofBermuda,,Hamilton,
BDB,Bundaberg,Queensland, Australia,Bundaberg,
BDC,Barra do Corda,Maranhão, Brazil,Barra do Corda,
BDD,Badu Island,Queensland, Australia,Badu Island,
BDE,Baudette,Minnesota, United States,Baudette,
BDF,Bradford,Illinois, United States,Bradford,
BDG,Blanding,Utah, United States,Blanding,
BDH,Bandar Lengeh,Iran,,Bandar Lengeh,
BDI,Bird Island,Seychelles,,Bird Island,
BDJ,Banjarmasin,Indonesia,,Banjarmasin,
BDK,Bondoukou,Ivory Coast,,Bondoukou,
BDL,Windsor Locks/Hartford,Connecticut, United States,Windsor Locks/Hartford,
BDN,Badin,Pakistan,,Badin,
BDO,Bandung,Indonesia,,Bandung,
BDP,Bhadrapur/Chandragadhi,Nepal,,Bhadrapur/Chandragadhi,
BDQ,Vadodara,Gujarat, India,Vadodara,
BDR,Bridgeport,Connecticut, United States,Bridgeport,
BDS,Brindisi,Apulia, Italy,Brindisi,
BDT,Gbadolite,Democratic Republic of the Congo,,Gbadolite,
BDU,Bardufoss,Norway,,Bardufoss,
BDV,Moba,Democratic Republic of the Congo,,Moba,
BDW,Bedford Downs,Western Australia, Australia,Bedford Downs,
BDX,Broadus,Montana, United States,Broadus,
BDY,Bandon,Oregon, United States,Bandon,
BDZ,Baindoung,Papua New Guinea,,Baindoung,
BEA,Bereina,Papua New Guinea,,Bereina,
BEB,Benbecula,Scotland, United Kingdom,Benbecula,
BEC,Wichita,Kansas, United States,Wichita,
BED,Bedford,Massachusetts, United States,Bedford,
BEE,Beagle Bay,Western Australia, Australia,Beagle Bay,
BEF,Bluefields,Nicaragua,,Bluefields,
BEG,Belgrade,Serbia,,Belgrade,
BEH,Benton Harbor,Michigan, United States,Benton Harbor,
BEI,Beica,Ethiopia,,Beica,
BEJ,Tanjung Redeb,Indonesia,,Tanjung Redeb,
BEK,Bareilly,Uttar Pradesh, India,Bareilly,
BEL,Belém,Pará, Brazil,Belem,
BEM,Beni Mellal,Morocco,,Beni Mellal,
BEN,Benghazi,Libya,,Benghazi,
BEO,Newcastle,New South Wales, Australia,Newcastle,
BEP,Bellary,Karnataka, India,Bellary,
BEQ,Bury St Edmunds,England, United Kingdom,Bury St Edmunds,
BER,Berlin, Germany,,Berlin,
BES,Brest,Brittany, France,Brest,
BET,Bethel,Alaska, United States,Bethel,
BEU,Bedourie,Queensland, Australia,Bedourie,
BEV,Beersheba,Israel,,Beersheba,
BEW,Beira,Mozambique,,Beira,
BEX,Benson,England, United Kingdom,Benson,
BEY,Beirut,Lebanon,,Beirut,
BEZ,Beru Island,Kiribati,,Beru Island,
BFA,Bahía Negra,Paraguay,,Bahia Negra,
BFC,Bloomfield,Queensland, Australia,Bloomfield,
BFD,Bradford,Pennsylvania, United States,Bradford,
BFE,Bielefeld,North Rhine-Westphalia, Germany,Bielefeld,
BFF,Scottsbluff,Nebraska, United States,Scottsbluff,
BFG,Glen Canyon,Utah, United States,Glen Canyon,
BFH,Curitiba,Paraná, Brazil,Curitiba,
BFI,Seattle,Washington, United States,Seattle,
BFJ,Bijie,Guizhou, China,Bijie,
BFK,Aurora,Colorado, United States,Aurora,
BFL,Bakersfield,California, United States,Bakersfield,
BFM,Mobile,Alabama, United States,Mobile,
BFN,Bloemfontein,South Africa,,Bloemfontein,
BFO,Chiredzi,Zimbabwe,,Chiredzi,
BFP,Beaver Falls,Pennsylvania, United States,Beaver Falls,
BFQ,Puerto Piña,Panama,,Puerto Pina,
BFR,Bedford,Indiana, United States,Bedford,
BFS,Belfast,Northern Ireland, United Kingdom,Belfast,
BFT,Beaufort County,South Carolina, United States,Beaufort County,
BFU,Bengbu,Anhui, China,Bengbu,
BFV,Buriram,Thailand,,Buriram,
BFW,Sidi Bel Abbès,Algeria,,Sidi Bel Abbes,
BFX,Bafoussam,Cameroon,,Bafoussam,
BGA,Bucaramanga,Colombia,,Bucaramanga,
BGB,Booué,Gabon,,Booue,
BGC,Bragança,Portugal,,Braganca,
BGD,Borger,Texas, United States,Borger,
BGE,Bainbridge,Georgia, United States,Bainbridge,
BGF,Bangui,Central African Republic,,Bangui,
BGG,Bingöl,Turkey,,Bingol,
BGH,Bogué,Mauritania,,Bogue,
BGI,Bridgetown,Barbados,,Bridgetown,
BGJ,Borgarfjörður Eystri,Iceland,,Borgarfjordur Eystri,
BGK,Big Creek,Belize,,Big Creek,
BGL,Baglung,Nepal,,Baglung,
BGM,Binghamton,New York, United States,Binghamton,
BGN,Belaya Gora,Yakutia, Russia,Belaya Gora,
BGO,Bergen,Norway,,Bergen,
BGP,Bongo, Gabon,,Bongo,
BGQ,Big Lake,Alaska, United States,Big Lake,
BGR,Bangor,Maine, United States,Bangor,
BGT,Bagdad,Arizona, United States,Bagdad,
BGU,Bangassou,Central African Republic,,Bangassou,
BGV,Bento Gonçalves,Rio Grande do Sul, Brazil,Bento Goncalves,
BGW,Baghdad,Iraq,,Baghdad,
BGX,Bagé,Rio Grande do Sul, Brazil,Bage,
BGY,Milan/Bergamo,Lombardy, Italy,Milan/Bergamo,
BGZ,Braga,Portugal,,Braga,
BHA,Bahía de Caráquez,Ecuador,,Bahia de Caraquez,
BHB,Bar Harbor,Maine, United States,Bar Harbor,
BHD,Belfast,Northern Ireland, United Kingdom,Belfast,
BHE,Blenheim,New Zealand,,Blenheim,
BHF,Bahía Cupica,Colombia,,Bahia Cupica,
BHG,Brus Laguna,Honduras,,Brus Laguna,
BHH,Bisha,Saudi Arabia,,Bisha,
BHI,Bahía Blanca,Buenos Aires, Argentina,Bahia Blanca,
BHJ,Bhuj,Gujarat, India,Bhuj,
BHK,Bukhara,Uzbekistan,,Bukhara,
BHL,Bahía de los Ángeles,Baja California, Mexico,Bahia de los Angeles,
BHM,Birmingham,Alabama, United States,Birmingham,
BHN,Beihan,Yemen,,Beihan,
BHO,Bhopal,Madhya Pradesh, India,Bhopal,
BHP,Bhojpur,Nepal,,Bhojpur,
BHQ,Broken Hill,New South Wales, Australia,Broken Hill,
BHR,Bharatpur,Nepal,,Bharatpur,
BHS,Bathurst,New South Wales, Australia,Bathurst,
BHT,Brighton Downs,Queensland, Australia,Brighton Downs,
BHU,Bhavnagar,Gujarat, India,Bhavnagar,
BHV,Bahawalpur,Pakistan,,Bahawalpur,
BHW,Sargodha,Pakistan,,Sargodha,
BHX,Birmingham,England, United Kingdom,Birmingham,
BHY,Beihai,Guangxi, China,Beihai,
BHZ,Belo Horizonte,Minas Gerais, Brazil,Belo Horizonte,
BIA,Bastia,Corsica, France,Bastia,
BIB,Baidoa,Somalia,,Baidoa,
BID,Block Island,Rhode Island, United States,Block Island,
BIE,Beatrice,Nebraska, United States,Beatrice,
BIF,El Paso,Texas, United States,El Paso,
BIG,Delta Junction,Alaska, United States,Delta Junction,
BIH,Bishop,California, United States,Bishop,
BII,Bikini Atoll,Marshall Islands,,Bikini Atoll,
BIJ,Biliau,Papua New Guinea,,Biliau,
BIK,Biak,Indonesia,,Biak,
BIL,Billings,Montana, United States,Billings,
BIM,Bimini,Bahamas,,Bimini,
BIN,Bamyan,Afghanistan,,Bamyan,
BIO,Bilbao,Basque Country, Spain,Bilbao,
BIP,Bulimba,Queensland, Australia,Bulimba,
BIQ,Biarritz,Aquitaine, France,Biarritz,
BIR,Biratnagar,Nepal,,Biratnagar,
BIS,Bismarck,North Dakota, United States,Bismarck,
BIT,Baitadi,Nepal,,Baitadi,
BIU,Bíldudalur,Iceland,,Bildudalur,
BIV,Bria, Central African Republic,,Bria,
BIW,Billiluna,Western Australia, Australia,Billiluna,
BIX,Biloxi,Mississippi, United States,Biloxi,
BIY,Bhisho,South Africa,,Bhisho,
BIZ,Bimin,Papua New Guinea,,Bimin,
BJA,Béjaïa,Algeria,,Bejaia,
BJB,Bojnord,Iran,,Bojnord,
BJC,Denver,Colorado, United States,Denver,
BJD,Bakkafjörður,Iceland,,Bakkafjordur,
BJE,Baleela,Sudan,,Baleela,
BJF,Batsfjord,Norway,,Batsfjord,
BJG,Kotamobagu,Indonesia,,Kotamobagu,
BJH,Bajhang,Nepal,,Bajhang,
BJI,Bemidji,Minnesota, United States,Bemidji,
BJJ,Wooster,Ohio, United States,Wooster,
BJK,Benjina,Indonesia,,Benjina,
BJL,Banjul,Gambia,,Banjul,
BJM,Bujumbura,Burundi,,Bujumbura,
BJN,Bajone,Mozambique,,Bajone,
BJO,Bermejo,Bolivia,,Bermejo,
BJP,Bragança Paulista,São Paulo, Brazil,Braganca Paulista,
BJQ,Bahja,Oman,,Bahja,
BJR,Bahir Dar,Ethiopia,,Bahir Dar,
BJS,Beijing,China,,Beijing,
BJT,Bentota,Sri Lanka,,Bentota,
BJU,Bajura,Nepal,,Bajura,
BJV,Milas/Bodrum,Turkey,,Milas/Bodrum,
BJW,Bajawa,Indonesia,,Bajawa,
BJX,León,Guanajuato, Mexico,Leon,
BJY,Batajnica,Serbia,,Batajnica,
BJZ,Badajoz,Extremadura, Spain,Badajoz,
BKA,Moscow, Russia,,Moscow,
BKB,Bikaner,Rajasthan, India,Bikaner,
BKC,Buckland,Alaska, United States,Buckland,
BKD,Breckenridge,Texas, United States,Breckenridge,
BKE,Baker City,Oregon, United States,Baker City,
BKF,Brooks Camp,Alaska, United States,Brooks Camp,
BKG,Branson,Missouri, United States,Branson,
BKH,Kekaha,Hawaii, United States,Kekaha,
BKI,Kota Kinabalu,Sabah, Malaysia,Kota Kinabalu,
BKJ,Boké,Guinea,,Boke,
BKK,Bangkok,Thailand,,Bangkok,
BKL,Cleveland,Ohio, United States,Cleveland,
BKM,Bakelalan,Sarawak, Malaysia,Bakelalan,
BKN,Balkanabat,Turkmenistan,,Balkanabat,
BKO,Bamako,Mali,,Bamako,
BKP,Barkly Downs,Queensland, Australia,Barkly Downs,
BKQ,Blackall,Queensland, Australia,Blackall,
BKR,Bokoro,Chad,,Bokoro,
BKS,Bengkulu,Indonesia,,Bengkulu,
BKT,Blackstone,Virginia, United States,Blackstone,
BKU,Betioky,Madagascar,,Betioky,
BKW,Beckley,West Virginia, United States,Beckley,
BKX,Brookings,South Dakota, United States,Brookings,
BKY,Bukavu,Democratic Republic of the Congo,,Bukavu,
BKZ,Bukoba,Tanzania,,Bukoba,
BLA,Barcelona,Venezuela,,Barcelona,
BLB,Panama Pacifico,Panama,,Panama Pacifico,
BLC,Bali,Cameroon,,Bali,
BLD,Boulder City,Nevada, United States,Boulder City,
BLE,Borlänge,Sweden,,Borlange,
BLF,Bluefield,West Virginia, United States,Bluefield,
BLG,Belaga,Sarawak, Malaysia,Belaga,
BLH,Blythe,California, United States,Blythe,
BLI,Bellingham,Washington, United States,Bellingham,
BLJ,Batna,Algeria,,Batna,
BLK,Blackpool,England, United Kingdom,Blackpool,
BLL,Billund,Denmark,,Billund,
BLM,Belmar/Farmingdale,New Jersey, United States,Belmar/Farmingdale,
BLN,Benalla,Victoria, Australia,Benalla,
BLO,Blönduós,Iceland,,Blonduos,
BLP,Bellavista,Peru,,Bellavista,
BLQ,Bologna,Emilia-Romagna, Italy,Bologna,
BLR,Bangalore,Karnataka, India,Bangalore,
BLS,Bollon,Queensland, Australia,Bollon,
BLT,Blackwater,Queensland, Australia,Blackwater,
BLU,Emigrant Gap,California, United States,Emigrant Gap,
BLV,Belleville,Illinois, United States,Belleville,
BLX,Belluno,Veneto, Italy,Belluno,
BLY,Belmullet,Ireland,,Belmullet,
BLZ,Blantyre,Malawi,,Blantyre,
BMA,Stockholm,Sweden,,Stockholm,
BMB,Bumba,Democratic Republic of the Congo,,Bumba,
BMC,Brigham City,Utah, United States,Brigham City,
BMD,Belo sur Tsiribihina,Madagascar,,Belo sur Tsiribihina,
BME,Broome,Western Australia, Australia,Broome,
BMF,Bakouma,Central African Republic,,Bakouma,
BMG,Bloomington,Indiana, United States,Bloomington,
BMH,Bomai,Papua New Guinea,,Bomai,
BMI,Bloomington,Illinois, United States,Bloomington,
BMJ,Baramita,Guyana,,Baramita,
BMK,Borkum,Lower Saxony, Germany,Borkum,
BML,Berlin,New Hampshire, United States,Berlin,
BMM,Bitam,Gabon,,Bitam,
BMN,Bamarni,Iraq,,Bamarni,
BMO,Bhamo,Myanmar,,Bhamo,
BMP,Brampton Island,Queensland, Australia,Brampton Island,
BMQ,Bamburi,Kenya,,Bamburi,
BMR,Baltrum,Lower Saxony, Germany,Baltrum,
BMS,Brumado,Bahia, Brazil,Brumado,
BMT,Beaumont,Texas, United States,Beaumont,
BMU,Bima,Indonesia,,Bima,
BMV,Buon Ma Thuot,Vietnam,,Buon Ma Thuot,
BMW,Bordj Badji Mokhtar,Algeria,,Bordj Badji Mokhtar,
BMX,Big Mountain,Alaska, United States,Big Mountain,
BMY,Waala,Belep Islands,New Caledonia,Waala,
BMZ,Bamu,Papua New Guinea,,Bamu,
BNA,Nashville,Tennessee, United States,Nashville,
BNB,Boende,Democratic Republic of the Congo,,Boende,
BNC,Beni,Democratic Republic of the Congo,,Beni,
BND,Bandar Abbas,Iran,,Bandar Abbas,
BNE,Brisbane,Queensland, Australia,Brisbane,
BNF,Baranof Warm Springs,Alaska, United States,Baranof Warm Springs,
BNG,Banning,California, United States,Banning,
BNI,Benin City,Nigeria,,Benin City,
BNK,Ballina,New South Wales, Australia,Ballina,
BNL,Barnwell,South Carolina, United States,Barnwell,
BNM,Bodinumu,Papua New Guinea,,Bodinumu,
BNN,Brønnøysund,Norway,,Bronnoysund,
BNO,Burns,Oregon, United States,Burns,
BNP,Bannu,Pakistan,,Bannu,
BNQ,Baganga,Philippines,,Baganga,
BNR,Banfora,Burkina Faso,,Banfora,
BNS,Barinas,Venezuela,,Barinas,
BNT,Bundi,Papua New Guinea,,Bundi,
BNU,Blumenau,Santa Catarina, Brazil,Blumenau,
BNV,Boana,Papua New Guinea,,Boana,
BNW,Boone,Iowa, United States,Boone,
BNX,Banja Luka,Bosnia and Herzegovina,,Banja Luka,
BNY,Bellona Island,Rennell and Bellona,Solomon Islands,Bellona Island,
BNZ,Banz,Papua New Guinea,,Banz,
BOA,Boma,Democratic Republic of the Congo,,Boma,
BOB,Bora Bora,French Polynesia,,Bora Bora,
BOC,Bocas Town,Panama,,Bocas Town,
BOD,Bordeaux,Aquitaine, France,Bordeaux,
BOE,Boundji,Republic of the Congo,,Boundji,
BOG,Bogotá,Colombia,,Bogota,
BOH,Bournemouth,England, United Kingdom,Bournemouth,
BOI,Boise,Idaho, United States,Boise,
BOJ,Burgas,Bulgaria,,Burgas,
BOK,Brookings,Oregon, United States,Brookings,
BOL,Ballykelly,Northern Ireland, United Kingdom,Ballykelly,
BOM,Mumbai,Maharashtra, India,Mumbai,
BON,Kralendijk,Bonaire,Caribbean Netherlands,Kralendijk,
BOO,Bodø,Norway,,Bodo,
BOP,Bouar,Central African Republic,,Bouar,
BOQ,Boku,Papua New Guinea,,Boku,
BOS,Boston,Massachusetts, United States,Boston,
BOT,Bosset,Papua New Guinea,,Bosset,
BOU,Bourges,Centre-Val de Loire, France,Bourges,
BOV,Boang Island,Papua New Guinea,,Boang Island,
BOW,Bartow,Florida, United States,Bartow,
BOX,Borroloola,Northern Territory, Australia,Borroloola,
BOY,Bobo-Dioulasso,Burkina Faso,,Bobo-Dioulasso,
BOZ,Bozoum,Central African Republic,,Bozoum,
BPB,Boridi,Papua New Guinea,,Boridi,
BPC,Bamenda,Cameroon,,Bamenda,
BPD,Bapi,Papua New Guinea,,Bapi,
BPE,Qinhuangdao,Hebei, China,Qinhuangdao,
BPF,Batuna,Solomon Islands,,Batuna,
BPG,Barra do Garças,Mato Grosso, Brazil,Barra do Garcas,
BPH,Bislig,Philippines,,Bislig,
BPI,Big Piney,Wyoming, United States,Big Piney,
BPK,Biangabip,Papua New Guinea,,Biangabip,
BPL,Bole,Xinjiang, China,Bole,
BPM,Hyderabad,Telangana, India,Hyderabad,
BPN,Balikpapan,Indonesia,,Balikpapan,
BPS,Porto Seguro,Bahia, Brazil,Porto Seguro,
BPT,Beaumont/Port Arthur,Texas, United States,Beaumont/Port Arthur,
BPX,Qamdo,Tibet Autonomous Region, China,Qamdo,
BPY,Besalampy,Madagascar,,Besalampy,
BQA,Baler,Philippines,,Baler,
BQB,Busselton,Western Australia, Australia,Busselton,
BQE,Bubaque,Guinea-Bissau,,Bubaque,
BQG,Bogorodskoye,Khabarovsk Krai, Russia,Bogorodskoye,
BQH,London/Biggin Hill,England, United Kingdom,London/Biggin Hill,
BQI,Bagani,Namibia,,Bagani,
BQJ,Batagay,Yakutia, Russia,Batagay,
BQK,Brunswick,Georgia, United States,Brunswick,
BQL,Boulia,Queensland, Australia,Boulia,
BQN,Aguadilla,Puerto Rico, United States,Aguadilla,
BQO,Bouna,Ivory Coast,,Bouna,
BQQ,Barra,Bahia, Brazil,Barra,
BQS,Blagoveshchensk,Amur Oblast, Russia,Blagoveshchensk,
BQT,Brest,Belarus,,Brest,
BQU,Bequia,Saint Vincent and the Grenadines,,Bequia,
BQV,Bartlett Cove,Alaska, United States,Bartlett Cove,
BQW,Balgo Hill,Western Australia, Australia,Balgo Hill,
BRA,Barreiras,Bahia, Brazil,Barreiras,
BRB,Barreirinhas,Maranhão, Brazil,Barreirinhas,
BRC,San Carlos de Bariloche,Río Negro, Argentina,San Carlos de Bariloche,
BRD,Brainerd,Minnesota, United States,Brainerd,
BRE,Bremen,Bremen, Germany,Bremen,
BRH,Brahman,Papua New Guinea,,Brahman,
BRI,Bari,Apulia, Italy,Bari,
BRJ,Bright,Victoria, Australia,Bright,
BRK,Bourke,New South Wales, Australia,Bourke,
BRL,Burlington,Iowa, United States,Burlington,
BRM,Barquisimeto,Venezuela,,Barquisimeto,
BRN,Bern,Switzerland,,Bern,
BRO,Brownsville,Texas, United States,Brownsville,
BRP,Biaru,Papua New Guinea,,Biaru,
BRQ,Brno,Czech Republic,,Brno,
BRR,Barra,Scotland, United Kingdom,Barra,
BRS,Bristol,England, United Kingdom,Bristol,
BRT,Bathurst Island,Northern Territory, Australia,Bathurst Island,
BRU,Brussels,Belgium,,Brussels,
BRV,Bremerhaven,Bremen, Germany,Bremerhaven,
BRW,Barrow,Alaska, United States,Barrow,
BRX,Barahona,Dominican Republic,,Barahona,
BRY,Bardstown,Kentucky, United States,Bardstown,
BSA,Bosaso,Somalia,,Bosaso,
BSB,Brasília,Distrito Federal, Brazil,Brasilia,
BSC,Bahía Solano,Colombia,,Bahia Solano,
BSD,Baoshan,Yunnan, China,Baoshan,
BSE,Sematan,Sarawak, Malaysia,Sematan,
BSF,Camp Pohakuloa,Hawaii, United States,Camp Pohakuloa,
BSG,Bata,Equatorial Guinea,,Bata,
BSI,Balesin Island,Quezon, Philippines,Balesin Island,
BSJ,Bairnsdale,Victoria, Australia,Bairnsdale,
BSK,Biskra,Algeria,,Biskra,
BSL,Basel,Switzerland,,Basel,
BSM,Amol,Iran,,Amol,
BSN,Bossangoa,Central African Republic,,Bossangoa,
BSO,Basco,Philippines,,Basco,
BSP,Bensbach,Papua New Guinea,,Bensbach,
BSQ,Bisbee,Arizona, United States,Bisbee,
BSR,Basra,Iraq,,Basra,
BSS,Balsas,Maranhão, Brazil,Balsas,
BST,Lashkar Gah(Bost),Afghanistan,,Lashkar Gah(Bost),
BSU,Basankusu,Democratic Republic of the Congo,,Basankusu,
BSV,Besakoa,Madagascar,,Besakoa,
BSW,Boswell Bay,Alaska, United States,Boswell Bay,
BSX,Pathein,Myanmar,,Pathein,
BSY,Bardera,Somalia,,Bardera,
BTA,Bertoua,Cameroon,,Bertoua,
BTB,Bétou,Republic of the Congo,,Betou,
BTC,Batticaloa,Sri Lanka,,Batticaloa,
BTD,Brunette Downs,Northern Territory, Australia,Brunette Downs,
BTE,Bonthe,Sierra Leone,,Bonthe,
BTF,Bountiful,Utah, United States,Bountiful,
BTG,Batangafo,Central African Republic,,Batangafo,
BTH,Batam,Indonesia,,Batam,
BTI,Barter Island,Alaska, United States,Barter Island,
BTJ,Banda Aceh,Indonesia,,Banda Aceh,
BTK,Bratsk,Irkutsk Oblast, Russia,Bratsk,
BTL,Battle Creek,Michigan, United States,Battle Creek,
BTM,Butte,Montana, United States,Butte,
BTN,Bennettsville,South Carolina, United States,Bennettsville,
BTO,Botopasi,Suriname,,Botopasi,
BTP,Butler,Pennsylvania, United States,Butler,
BTQ,Butare,Rwanda,,Butare,
BTR,Baton Rouge,Louisiana, United States,Baton Rouge,
BTS,Bratislava,Slovakia,,Bratislava,
BTT,Bettles,Alaska, United States,Bettles,
BTU,Bintulu,Sarawak, Malaysia,Bintulu,
BTV,Burlington,Vermont, United States,Burlington,
BTW,Batu Licin,Indonesia,,Batu Licin,
BTX,Betoota,Queensland, Australia,Betoota,
BTY,Beatty,Nevada, United States,Beatty,
BUA,Buka Island,Papua New Guinea,,Buka Island,
BUB,Burwell,Nebraska, United States,Burwell,
BUC,Burketown,Queensland, Australia,Burketown,
BUD,Budapest,Hungary,,Budapest,
BUE,Buenos Aires, Argentina,,Buenos Aires,
BUF,Buffalo,New York, United States,Buffalo,
BUG,Benguela,Angola,,Benguela,
BUH,Bucharest,Romania,,Bucharest,
BUI,Bokondini,Indonesia,,Bokondini,
BUJ,Bou Saâda,Algeria,,Bou Saada,
BUK,Albuq,Yemen,,Albuq,
BUL,Bulolo,Papua New Guinea,,Bulolo,
BUM,Butler,Missouri, United States,Butler,
BUN,Buenaventura,Colombia,,Buenaventura,
BUO,Burao,Somalia,,Burao,
BUP,Bathinda,Punjab, India,Bathinda,
BUQ,Bulawayo,Zimbabwe,,Bulawayo,
BUR,Burbank,California, United States,Burbank,
BUS,Batumi,Georgia,,Batumi,
BUT,Jakar,Bhutan,,Jakar,
BUU,Bungo Regency,Jambi,Indonesia,Bungo Regency,
BUV,Bella Unión,Uruguay,,Bella Union,
BUW,Baubau,Indonesia,,Baubau,
BUX,Bunia,Democratic Republic of the Congo,,Bunia,
BUY,Bunbury,Western Australia, Australia,Bunbury,
BUZ,Bushehr,Iran,,Bushehr,
BVA,Beauvais,Picardy, France,Beauvais,
BVB,Boa Vista,Roraima, Brazil,Boa Vista,
BVC,Boa Vista,Cape Verde,,Boa Vista,
BVE,Brive-la-Gaillarde,Limousin, France,Brive-la-Gaillarde,
BVF,Bua,Fiji,,Bua,
BVG,BerlevAg,Norway,,BerlevAg,
BVH,Vilhena,Rondônia, Brazil,Vilhena,
BVI,Birdsville,Queensland, Australia,Birdsville,
BVK,Huacaraje,Bolivia,,Huacaraje,
BVL,Baures,Bolivia,,Baures,
BVM,Belmonte,Bahia, Brazil,Belmonte,
BVO,Bartlesville,Oklahoma, United States,Bartlesville,
BVP,Bolovip,Papua New Guinea,,Bolovip,
BVR,Brava,Cape Verde,,Brava,
BVS,Breves,Pará, Brazil,Breves,
BVU,Beluga,Alaska, United States,Beluga,
BVV,Burevestnik,Sakhalin Oblast, Russia,Burevestnik,
BVW,Batavia Downs,Queensland, Australia,Batavia Downs,
BVX,Batesville,Arkansas, United States,Batesville,
BVY,Beverly,Massachusetts, United States,Beverly,
BVZ,Beverley Springs,Western Australia, Australia,Beverley Springs,
BWA,Siddharthanagar(Bhairawa),Nepal,,Siddharthanagar(Bhairawa),
BWB,Barrow Island,Western Australia, Australia,Barrow Island,
BWC,Brawley,California, United States,Brawley,
BWD,Brownwood,Texas, United States,Brownwood,
BWE,Braunschweig,Lower Saxony, Germany,Braunschweig,
BWF,Barrow-in-Furness,England, United Kingdom,Barrow-in-Furness,
BWG,Bowling Green,Kentucky, United States,Bowling Green,
BWH,Butterworth,Penang, Malaysia,Butterworth,
BWI,Baltimore–Washington metropolitan area, United States,,Baltimore–Washington metropolitan area,
BWJ,Bawan,Papua New Guinea,,Bawan,
BWK,Bol,Croatia,,Bol,
BWL,Blackwell,Oklahoma, United States,Blackwell,
BWM,Bowman,North Dakota, United States,Bowman,
BWN,Bandar Seri Begawan,Brunei,,Bandar Seri Begawan,
BWO,Balakovo,Saratov Oblast, Russia,Balakovo,
BWP,Bewani,Papua New Guinea,,Bewani,
BWQ,Brewarrina,New South Wales, Australia,Brewarrina,
BWT,Burnie,Tasmania, Australia,Burnie,
BWU,Bankstown,New South Wales, Australia,Bankstown,
BWW,Cayo Santa María,Cuba,,Cayo Santa Maria,
BWX,Banyuwangi,Indonesia,,Banyuwangi,
BXA,Bogalusa,Louisiana, United States,Bogalusa,
BXB,Babo,Indonesia,,Babo,
BXD,Bade,Indonesia,,Bade,
BXE,Bakel,Senegal,,Bakel,
BXF,Bellburn Camps,Western Australia, Australia,Bellburn Camps,
BXG,Bendigo,Victoria, Australia,Bendigo,
BXH,Balkhash,Kazakhstan,,Balkhash,
BXI,Boundiali,Ivory Coast,,Boundiali,
BXJ,Almaty,Kazakhstan,,Almaty,
BXK,Buckeye,Arizona, United States,Buckeye,
BXL,Nanuya Lailai,Fiji,,Nanuya Lailai,
BXM,Batom,Indonesia,,Batom,
BXN,Bodrum,Turkey,,Bodrum,
BXO,Buochs,Switzerland,,Buochs,
BXR,Bam,Iran,,Bam,
BXS,Borrego Springs,California, United States,Borrego Springs,
BXT,Bontang,Indonesia,,Bontang,
BXU,Butuan,Philippines,,Butuan,
BXV,Breiðdalsvík,Iceland,,Breiddalsvik,
BXX,Borama,Somalia,,Borama,
BXY,Baikonur,Kazakhstan,,Baikonur,
BXZ,Bunsil,Papua New Guinea,,Bunsil,
